ts_ms,device_id,seq,uptime_ms,temp
1776606118257,device_001,1,123,27.5
1776606118562,device_001,6046,1776606118385,26.46
1776606119585,device_001,6047,1776606119387,29.7
1776606120583,device_001,6048,1776606120389,25.76
1776606121587,device_001,6049,1776606121391,26.49
1776606122614,device_001,6050,1776606122392,25.16
1776606124476,device_001,6051,1776606123393,27.5
1776606124657,device_001,6052,1776606124394,29.96
1776606125612,device_001,6053,1776606125397,29.72
1776606126593,device_001,6054,1776606126398,26.31
1776606127622,device_001,6055,1776606127399,27.44
1776606128602,device_001,6056,1776606128401,29.78
1776606129680,device_001,6057,1776606129403,27.23
1776606130601,device_001,6058,1776606130404,25.58
1776606131600,device_001,6059,1776606131406,26.38
1776606132639,device_001,6060,1776606132406,25.79
1776606133628,device_001,6061,1776606133407,25.95
1776606134645,device_001,6062,1776606134408,28.37
1776606135620,device_001,6063,1776606135410,28.37
1776606136605,device_001,6064,1776606136413,26.14
1776606137624,device_001,6065,1776606137414,25.86
1776606138612,device_001,6066,1776606138415,28.74
1776606139641,device_001,6067,1776606139416,27.18
1776606140613,device_001,6068,1776606140417,25.59
1776606141612,device_001,6069,1776606141417,27.98
1776606142671,device_001,6070,1776606142418,27.14
1776606143612,device_001,6071,1776606143420,27.05
1776606144615,device_001,6072,1776606144420,27.66
1776606145630,device_001,6073,1776606145421,28.64
1776606146619,device_001,6074,1776606146422,26.84
1776606147614,device_001,6075,1776606147423,29.91
1776606148621,device_001,6076,1776606148424,25.34
1776606149612,device_001,6077,1776606149425,25.97
1776606150621,device_001,6078,1776606150427,29.43
1776606151641,device_001,6079,1776606151428,25.99
1776606152626,device_001,6080,1776606152429,28.72
1776606153651,device_001,6081,1776606153436,29.45
1776606154621,device_001,6082,1776606154437,27.17
1776606155651,device_001,6083,1776606155438,27.1
1776606156652,device_001,6084,1776606156439,26.51
1776606157634,device_001,6085,1776606157440,26.12
1776606158655,device_001,6086,1776606158441,25.51
1776606159651,device_001,6087,1776606159442,27.23
1776606160651,device_001,6088,1776606160443,25.72
1776606161670,device_001,6089,1776606161444,28.59
1776606162630,device_001,6090,1776606162445,25.31
1776606163661,device_001,6091,1776606163447,26.22
1776606164662,device_001,6092,1776606164449,25.8
1776606165652,device_001,6093,1776606165451,25.43
1776606166661,device_001,6094,1776606166452,28.2
1776606167670,device_001,6095,1776606167452,27.64
1776606168664,device_001,6096,1776606168454,25.2
1776606169671,device_001,6097,1776606169455,25.51
1776606170663,device_001,6098,1776606170456,27.95
1776606171651,device_001,6099,1776606171456,29.72
1776606172667,device_001,6100,1776606172457,29.38
1776606173652,device_001,6101,1776606173459,29.63
1776606174661,device_001,6102,1776606174460,26.26
1776606175672,device_001,6103,1776606175461,27.77
1776606176640,device_001,6104,1776606176462,26.57
1776606177671,device_001,6105,1776606177463,29.96
1776606178670,device_001,6106,1776606178464,27.56
1776606179651,device_001,6107,1776606179465,25.55
